"代號","名稱","市場","股價日期","當日走勢","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","PER","PBR","一個月走勢圖","三個月走勢圖","半年走勢圖","一年走勢圖","三年走勢圖"
="8088","品安","櫃","06/23","    ","21.95","-0.15","-0.68%","219","4.8","22.1","22.1","22.2","21.9","12.4","1.51","    ","    ","    ","    ","    "
="8091","翔名","櫃","06/23","    ","68","0","0%","422","28.6","68","68","68.3","67.5","15.3","1.66","    ","    ","    ","    ","    "
="8092","建暐","櫃","06/23","    ","8.43","-0.08","-0.94%","60","0.51","8.51","8.56","8.56","8.41","","0.84","    ","    ","    ","    ","    "
="8093","保銳","櫃","06/23","    ","6","-0.1","-1.64%","15","0.09","6.1","6.05","6.05","6","37.5","0.82","    ","    ","    ","    ","    "
="8096","擎亞","櫃","06/23","    ","16.15","+0.55","+3.53%","2,080","33.2","15.6","15.65","16.25","15.5","147","0.96","    ","    ","    ","    ","    "
="8097","常珵","櫃","06/23","    ","11.9","0","0%","4","0.05","11.9","11.9","11.95","11.9","59.5","1.18","    ","    ","    ","    ","    "
="8099","大世科","櫃","06/23","    ","19.2","-0.05","-0.26%","67","1.28","19.25","19.2","19.25","19.05","12.6","1.29","    ","    ","    ","    ","    "
="8107","大億科","櫃","06/23","    ","24.85","-0.05","-0.2%","450","11.2","24.9","25.05","25.15","24.8","17.6","1.91","    ","    ","    ","    ","    "
="8109","博大","櫃","06/23","    ","70.1","+0.1","+0.14%","126","8.82","70","70.2","70.2","69.9","17.6","3.38","    ","    ","    ","    ","    "
="8111","立碁","櫃","06/23","    ","9.37","-0.13","-1.37%","469","4.45","9.5","9.5","9.74","9.37","","1.08","    ","    ","    ","    ","    "
="8121","越峰","櫃","06/23","    ","10.1","-0.05","-0.49%","122","1.24","10.15","10.15","10.25","10.1","","1.37","    ","    ","    ","    ","    "
="8147","正淩","櫃","06/23","    ","33.95","-0.05","-0.15%","25","0.85","34","34","34.45","33.95","15.2","1.55","    ","    ","    ","    ","    "
="8155","博智","櫃","06/23","    ","45.45","+0.85","+1.91%","2,936","134","44.6","44.95","46.5","44.95","14","1.61","    ","    ","    ","    ","    "
="8171","天宇","櫃","06/23","    ","9.29","-0.21","-2.21%","888","8.77","9.5","9.94","10.2","9.28","","0.9","    ","    ","    ","    ","    "
="8176","智捷","櫃","06/23","    ","12","+0.05","+0.42%","128","1.54","11.95","12.15","12.15","11.95","30.8","1.15","    ","    ","    ","    ","    "
="8182","加高","櫃","06/23","    ","15.1","-0.05","-0.33%","45","0.68","15.15","15.15","15.15","15","16.2","0.63","    ","    ","    ","    ","    "
="8183","精星","櫃","06/23","    ","21.05","+0.15","+0.72%","1,877","39.6","20.9","21.15","21.4","20.8","","1.65","    ","    ","    ","    ","    "
="8234","新漢","櫃","06/23","    ","28.95","0","0%","112","3.25","28.95","29","29.15","28.9","16.1","1.71","    ","    ","    ","    ","    "
="8240","華宏","櫃","06/23","    ","20.3","-0.6","-2.87%","54","1.11","20.9","20.6","20.6","20.3","","0.57","    ","    ","    ","    ","    "
="8255","朋程","櫃","06/23","    ","116","+0.5","+0.43%","98","11.3","115.5","115.5","116","115","17.1","2.71","    ","    ","    ","    ","    "
="8277","商丞","櫃","06/23","    ","10.1","-0.1","-0.98%","173","1.75","10.2","10.2","10.2","10.1","","0.97","    ","    ","    ","    ","    "
="8279","生展","櫃","06/23","-","120","+0.5","+0.42%","656","77.5","119.5","117.5","121","115.5","26.2","3.83","    ","    ","    ","    ","    "
="8287","英格爾","櫃","06/23","    ","16.5","-0.1","-0.6%","377","6.27","16.6","16.75","16.8","16.5","9.88","0.64","    ","    ","    ","    ","    "
="8289","泰藝","櫃","06/23","    ","10.6","0","0%","230","2.45","10.6","10.6","10.75","10.6","62.4","0.6","    ","    ","    ","    ","    "
="8291","尚茂","櫃","06/23","    ","4.19","0","0%","0","0","4.19","4.19","4.19","4.19","","0.89","    ","    ","    ","    ","    "
="8299","群聯","櫃","06/23","    ","360.5","-3","-0.83%","1,698","619","363.5","365.5","369","360.5","17.3","2.93","    ","    ","    ","    ","    "
="8349","恒耀","櫃","06/23","    ","105.5","-2","-1.86%","476","50.7","107.5","108","108","105.5","22.3","3.54","    ","    ","    ","    ","    "
="8354","冠好","櫃","06/23","    ","16.7","0","0%","38","0.63","16.7","16.6","16.75","16.25","36.3","0.78","    ","    ","    ","    ","    "
="8358","金居","櫃","06/23","    ","43.95","-0.85","-1.9%","3,897","173","44.8","45","45.3","43.95","9.88","3.66","    ","    ","    ","    ","    "
="8383","千附","櫃","06/23","    ","48.6","-0.1","-0.21%","440","21.4","48.7","48.6","48.85","48.55","11.4","1.7","    ","    ","    ","    ","    "
="8390","金益鼎","櫃","06/23","    ","14.9","+0.15","+1.02%","46","0.69","14.75","14.75","15","14.75","","0.86","    ","    ","    ","    ","    "
="8401","白紗科","櫃","06/23","    ","11.3","-0.1","-0.88%","32","0.36","11.4","11.45","11.5","11.3","29.7","0.79","    ","    ","    ","    ","    "
="8403","盛弘","櫃","06/23","    ","37.1","-0.2","-0.54%","1,584","59.7","37.3","38.4","38.4","36.9","23.3","1.49","    ","    ","    ","    ","    "
="8406","金可-KY","櫃","06/23","    ","247.5","0","0%","291","72.4","247.5","249.5","251","246","14.9","2.27","    ","    ","    ","    ","    "
="8409","商之器","櫃","06/23","    ","19.55","-0.3","-1.51%","110","2.2","19.85","20","20.2","19.5","","1.54","    ","    ","    ","    ","    "
="8410","森田","櫃","06/23","    ","30.5","+0.35","+1.16%","69","2.09","30.15","30.3","30.5","30.2","18.5","0.86","    ","    ","    ","    ","    "
="8415","大國鋼","櫃","06/23","    ","18.05","0","0%","74","1.33","18.05","18","18.05","18","27.8","1.63","    ","    ","    ","    ","    "
="8416","實威","櫃","06/23","    ","108.5","-2.5","-2.25%","123","13.4","111","111","111","107","14.6","3.25","    ","    ","    ","    ","    "
="8418","捷必勝-KY","櫃","06/23","    ","15.9","0","0%","11","0.18","15.9","15.9","16.2","15.9","","0.7","    ","    ","    ","    ","    "
="8420","明揚","櫃","06/23","    ","20.05","+0.15","+0.75%","37","0.74","19.9","19.95","20.05","19.9","15","1.26","    ","    ","    ","    ","    "
="8421","旭源","櫃","06/23","    ","18.95","0","0%","17","0.32","18.95","19.2","19.2","18.8","17.9","1.39","    ","    ","    ","    ","    "
="8423","保綠-KY","櫃","06/23","    ","17.75","-0.3","-1.66%","1","0.02","18.05","17.75","17.75","17.75","23","1.3","    ","    ","    ","    ","    "
="8424","惠普","櫃","06/23","    ","40.7","-0.25","-0.61%","14","0.57","40.95","40.75","40.9","40.7","11.1","1.55","    ","    ","    ","    ","    "
="8426","紅木-KY","櫃","06/23","    ","42.2","-0.5","-1.17%","103","4.35","42.7","42.9","42.9","41.9","8.1","1.93","    ","    ","    ","    ","    "
="8431","匯鑽科","櫃","06/23","    ","40.9","-0.65","-1.56%","79","3.26","41.55","41.55","41.75","40.9","","1.89","    ","    ","    ","    ","    "
="8432","東生華","櫃","06/23","    ","81.2","-0.3","-0.37%","84","6.83","81.5","82.1","82.2","80.8","32","2.16","    ","    ","    ","    ","    "
="8433","弘帆","櫃","06/23","    ","111","-1","-0.89%","57","6.35","112","112","112","111","17.1","4.43","    ","    ","    ","    ","    "
="8435","鉅邁","櫃","06/23","    ","49.95","-0.05","-0.1%","66","3.27","50","50","50","49.3","15.7","2.15","    ","    ","    ","    ","    "
="8436","大江","櫃","06/23","    ","200.5","-1","-0.5%","2,112","424","201.5","204","206","197","27.3","5.22","    ","    ","    ","    ","    "
="8437","大地-KY","櫃","06/23","    ","176.5","-0.5","-0.28%","18","3.18","177","177","177","176","16.6","3.55","    ","    ","    ","    ","    "
="8444","綠河-KY","櫃","06/23","    ","161.5","+0.5","+0.31%","307","48.3","161","161.5","162","155","19.9","4.59","    ","    ","    ","    ","    "
="8446","華研","櫃","06/23","    ","123.5","+0.5","+0.41%","218","27.1","123","124","126","123","18.6","4.52","    ","    ","    ","    ","    "
="8450","霹靂","櫃","06/23","    ","79","-0.2","-0.25%","60","4.74","79.2","79.3","79.5","78.6","20.4","2.19","    ","    ","    ","    ","    "
="8455","大拓-KY","櫃","06/23","    ","27.7","-0.2","-0.72%","34","0.95","27.9","28.4","28.4","27.65","18.2","1.66","    ","    ","    ","    ","    "
="8462","柏文","櫃","06/23","    ","102","+1","+0.99%","423","44","101","102.5","106","102","23.4","4.11","    ","    ","    ","    ","    "
="8472","夠麻吉","櫃","06/23","    ","40.2","+0.45","+1.13%","44","1.77","39.75","40.1","40.35","40","13.7","1.3","    ","    ","    ","    ","    "
