"代號","名稱","市場","股價日期","當日走勢","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","PER","PBR","一個月走勢圖","三個月走勢圖","半年走勢圖","一年走勢圖","三年走勢圖"
="3002","歐格","市","06/23","    ","14","-0.15","-1.06%","234","3.28","14.15","14.15","14.15","13.95","18","1.13","    ","    ","    ","    ","    "
="3003","健和興","市","06/23","    ","46.55","-0.25","-0.53%","560","26.2","46.8","46.8","47.1","46.35","18","1.68","    ","    ","    ","    ","    "
="3004","豐達科","市","06/23","    ","52.5","-0.9","-1.69%","133","7.01","53.4","53.7","53.7","52.4","14","1.91","    ","    ","    ","    ","    "
="3005","神基","市","06/23","    ","41","+0.5","+1.23%","4,516","185","40.5","40.65","41.35","40.55","10.6","1.71","    ","    ","    ","    ","    "
="3006","晶豪科","市","06/23","    ","37.25","+0.1","+0.27%","1,063","39.6","37.15","37.3","37.5","37.15","17.8","1.42","    ","    ","    ","    ","    "
="3008","大立光","市","06/23","    ","4965","+75","+1.53%","487","2,414","4890","4915","4985","4915","27.8","8.32","    ","    ","    ","    ","    "
="3010","華立","市","06/23","    ","50.2","-0.6","-1.18%","147","7.39","50.8","50.6","50.7","50.1","11.6","1.16","    ","    ","    ","    ","    "
="3011","今皓","市","06/23","    ","7.51","-0.01","-0.13%","129","0.97","7.52","7.57","7.57","7.49","75.1","0.69","    ","    ","    ","    ","    "
="3013","晟銘電","市","06/23","    ","19.8","-0.2","-1%","385","7.66","20","19.95","20.15","19.65","14.1","1.52","    ","    ","    ","    ","    "
="3014","聯陽","市","06/23","    ","37","0","0%","391","14.4","37","37","37.05","36.85","15.5","1.47","    ","    ","    ","    ","    "
="3015","全漢","市","06/23","    ","23.4","-0.15","-0.64%","184","4.31","23.55","23.7","23.7","23.35","15.8","0.58","    ","    ","    ","    ","    "
="3016","嘉晶","市","06/23","    ","22.45","-0.05","-0.22%","1,081","24.5","22.5","22.65","23","22.45","224","2.02","    ","    ","    ","    ","    "
="3017","奇鋐","市","06/23","    ","26.4","-0.2","-0.75%","1,999","53","26.6","26.6","26.75","26.4","10.7","1.16","    ","    ","    ","    ","    "
="3018","同開","市","06/23","    ","42.25","0","0%","295","12.4","42.25","42.25","42.4","41.8","121","3.64","    ","    ","    ","    ","    "
="3019","亞光","市","06/23","    ","54","-0.5","-0.92%","2,373","129","54.5","54.6","54.9","54","43.9","1.43","    ","    ","    ","    ","    "
="3021","鴻名","市","06/23","    ","14.9","0","0%","223","3.31","14.9","14.9","15","14.8","13.6","1.28","    ","    ","    ","    ","    "
="3022","威強電","市","06/23","    ","46.8","-0.45","-0.95%","454","21.3","47.25","47.25","47.35","46.75","10.9","1.91","    ","    ","    ","    ","    "
